ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-09-18,2696.9842464525714,-1500.2254528621922,2602.5350358571372,2696.9842464525714,2696.9842464525714,-2089.326245406467,-2089.326245406467,-2089.326245406467,-3373.5599359756498,-3373.5599359756498,-3373.5599359756498,1284.2336905691827,1284.2336905691827,1284.2336905691827,0.0,0.0,0.0,607.6580010461043
2011-09-19,2698.712078816305,2825.4026278422393,7091.1102778233135,2698.712078816305,2698.712078816305,2155.327800984765,2155.327800984765,2155.327800984765,869.4816339457404,869.4816339457404,869.4816339457404,1285.8461670390247,1285.8461670390247,1285.8461670390247,0.0,0.0,0.0,4854.03987980107
2011-09-20,2700.4399111800385,2956.9040448110422,6990.040173032904,2700.4399111800385,2700.4399111800385,2289.4339084720514,2289.4339084720514,2289.4339084720514,1009.1670890578074,1009.1670890578074,1009.1670890578074,1280.2668194142443,1280.2668194142443,1280.2668194142443,0.0,0.0,0.0,4989.87381965209
2011-09-21,2702.1677435437723,2873.939831570799,6929.433799180618,2702.1677435437723,2702.1677435437723,2232.210359071894,2232.210359071894,2232.210359071894,965.1340196350377,965.1340196350377,965.1340196350377,1267.0763394368564,1267.0763394368564,1267.0763394368564,0.0,0.0,0.0,4934.378102615667
2011-09-22,2703.895575907506,2952.2147028832205,6783.978286108304,2703.895575907506,2703.895575907506,2113.595477245628,2113.595477245628,2113.595477245628,867.6563831393582,867.6563831393582,867.6563831393582,1245.9390941062695,1245.9390941062695,1245.9390941062695,0.0,0.0,0.0,4817.491053153134
2011-09-23,2705.6234082712394,2960.556746452569,7032.15693180969,2705.6234082712394,2705.6234082712394,2341.1475376262088,2341.1475376262088,2341.1475376262088,1124.5339364726956,1124.5339364726956,1124.5339364726956,1216.6136011535132,1216.6136011535132,1216.6136011535132,0.0,0.0,0.0,5046.770945897448
2011-09-24,2707.3512406349732,346.7321373049924,4442.454060874009,2707.3512406349732,2707.3512406349732,-283.4506638180547,-283.4506638180547,-283.4506638180547,-1462.4131262810386,-1462.4131262810386,-1462.4131262810386,1178.962462462984,1178.962462462984,1178.962462462984,0.0,0.0,0.0,2423.9005768169186
2011-09-25,2709.079072998707,-1516.2435048293746,2539.3559418928157,2709.079072998707,2709.079072998707,-2240.598438577689,-2240.598438577689,-2240.598438577689,-3373.559935978283,-3373.559935978283,-3373.559935978283,1132.961497400594,1132.961497400594,1132.961497400594,0.0,0.0,0.0,468.48063442101784
2011-09-26,2710.8069053624404,2584.2125315939734,6658.063967715582,2710.8069053624404,2710.8069053624404,1948.189434799503,1948.189434799503,1948.189434799503,869.4816339477079,869.4816339477079,869.4816339477079,1078.7078008517951,1078.7078008517951,1078.7078008517951,0.0,0.0,0.0,4658.996340161943
2011-09-27,2712.534737726174,2725.9399521640835,6702.430600777727,2712.534737726174,2712.534737726174,2025.5935304813522,2025.5935304813522,2025.5935304813522,1009.167089057747,1009.167089057747,1009.167089057747,1016.4264414236051,1016.4264414236051,1016.4264414236051,0.0,0.0,0.0,4738.128268207526
2011-09-28,2714.2625700899075,2661.1389706214927,6670.224545858311,2714.2625700899075,2714.2625700899075,1911.6095343965894,1911.6095343965894,1911.6095343965894,965.1340196351131,965.1340196351131,965.1340196351131,946.4755147614765,946.4755147614765,946.4755147614765,0.0,0.0,0.0,4625.872104486497
2011-09-29,2715.9904024536418,2349.3497579851232,6402.344792313351,2715.9904024536418,2715.9904024536418,1737.0056591807045,1737.0056591807045,1737.0056591807045,867.6563831413056,867.6563831413056,867.6563831413056,869.3492760393989,869.3492760393989,869.3492760393989,0.0,0.0,0.0,4452.996061634346
2011-09-30,2717.718234817375,2626.277657143916,6849.083980858657,2717.718234817375,2717.718234817375,1910.2130313452165,1910.2130313452165,1910.2130313452165,1124.533936469175,1124.533936469175,1124.533936469175,785.6790948760416,785.6790948760416,785.6790948760416,0.0,0.0,0.0,4627.931266162592
2011-10-01,2719.4460671811084,-106.0787370376754,3987.8316545123153,2719.4460671811084,2719.4460671811084,-766.1811209583432,-766.1811209583432,-766.1811209583432,-1462.413126280022,-1462.413126280022,-1462.413126280022,696.2320053216789,696.2320053216789,696.2320053216789,0.0,0.0,0.0,1953.2649462227653
2011-10-02,2721.1738995448422,-2253.948488831505,1983.2916182936228,2721.1738995448422,2721.1738995448422,-2771.6532730078266,-2771.6532730078266,-2771.6532730078266,-3373.5599359751827,-3373.5599359751827,-3373.5599359751827,601.9066629673563,601.9066629673563,601.9066629673563,0.0,0.0,0.0,-50.47937346298431
2011-10-03,2722.901731908576,2076.200612774735,6131.0271949979015,2722.901731908576,2722.901731908576,1373.2082039982706,1373.2082039982706,1373.2082039982706,869.4816339501876,869.4816339501876,869.4816339501876,503.7265700480828,503.7265700480828,503.7265700480828,0.0,0.0,0.0,4096.109935906847
2011-10-04,2724.6295642723094,2070.602233069136,6125.023346221954,2724.6295642723094,2724.6295642723094,1411.997575802411,1411.997575802411,1411.997575802411,1009.1670890561224,1009.1670890561224,1009.1670890561224,402.8304867462884,402.8304867462884,402.8304867462884,0.0,0.0,0.0,4136.62714007472
2011-10-05,2726.357396636043,2082.9456408521683,6086.305438213724,2726.357396636043,2726.357396636043,1265.5940311283734,1265.5940311283734,1265.5940311283734,965.1340196351882,965.1340196351882,965.1340196351882,300.46001149318516,300.46001149318516,300.46001149318516,0.0,0.0,0.0,3991.9514277644166
2011-10-06,2728.085228999777,1683.6420087700376,5743.997400096832,2728.085228999777,2728.085228999777,1065.600766500079,1065.600766500079,1065.600766500079,867.656383140673,867.656383140673,867.656383140673,197.94438335940617,197.94438335940617,197.94438335940617,0.0,0.0,0.0,3793.6859954998563
2011-10-07,2729.8130613635103,1884.1348617360663,6112.249901603827,2729.8130613635103,2729.8130613635103,1221.216570280667,1221.216570280667,1221.216570280667,1124.53393647152,1124.53393647152,1124.53393647152,96.68263380914688,96.68263380914688,96.68263380914688,0.0,0.0,0.0,3951.0296316441772
2011-10-08,2731.540893727244,-755.2992610353722,3206.4558445763964,2731.540893727244,2731.540893727244,-1464.2898351667106,-1464.2898351667106,-1464.2898351667106,-1462.413126281447,-1462.413126281447,-1462.413126281447,-1.8767088852636715,-1.8767088852636715,-1.8767088852636715,0.0,0.0,0.0,1267.2510585605335
2011-10-09,2733.2687260909775,-2741.5680366549786,1176.2787926964822,2733.2687260909775,2733.2687260909775,-3469.8180195436903,-3469.8180195436903,-3469.8180195436903,-3373.559935972082,-3373.559935972082,-3373.559935972082,-96.25808357160871,-96.25808357160871,-96.25808357160871,0.0,0.0,0.0,-736.5492934527128
2011-10-10,2734.9965584547117,1471.7863929029056,5626.356982786304,2734.9965584547117,2734.9965584547117,684.4984575078735,684.4984575078735,684.4984575078735,869.4816339526678,869.4816339526678,869.4816339526678,-184.98317644479442,-184.98317644479442,-184.98317644479442,0.0,0.0,0.0,3419.495015962585
2011-10-11,2736.724390818445,1457.8459271958789,5487.717839596772,2736.724390818445,2736.724390818445,742.5704916660527,742.5704916660527,742.5704916660527,1009.1670890587727,1009.1670890587727,1009.1670890587727,-266.59659739272,-266.59659739272,-266.59659739272,0.0,0.0,0.0,3479.294882484498
2011-10-12,2738.452223182179,1487.772202609908,5411.3047555692765,2738.452223182179,2738.452223182179,625.4415482406736,625.4415482406736,625.4415482406736,965.1340196339546,965.1340196339546,965.1340196339546,-339.6924713932809,-339.6924713932809,-339.6924713932809,0.0,0.0,0.0,3363.8937714228523
2011-10-13,2740.180055545912,1271.3898797769598,5055.3188314612835,2740.180055545912,2740.180055545912,464.714970802271,464.714970802271,464.714970802271,867.6563831381817,867.6563831381817,867.6563831381817,-402.94141233591074,-402.94141233591074,-402.94141233591074,0.0,0.0,0.0,3204.8950263481834
2011-10-14,2741.907887909646,1372.128372287362,5378.331613961132,2741.907887909646,2741.907887909646,669.4166300419664,669.4166300419664,669.4166300419664,1124.5339364691986,1124.5339364691986,1124.5339364691986,-455.11730642723217,-455.11730642723217,-455.11730642723217,0.0,0.0,0.0,3411.3245179516125
2011-10-15,2743.63572027338,-1271.2277289637414,2817.419879636241,2743.63572027338,2743.63572027338,-1957.5364314465298,-1957.5364314465298,-1957.5364314465298,-1462.4131262764597,-1462.4131262764597,-1462.4131262764597,-495.12330517006984,-495.12330517006984,-495.12330517006984,0.0,0.0,0.0,786.0992888268499
